  0.46199050E-01 -0.66454609E-02  0.10444379E-01 -0.73343751E+01
  0.46762453E-01 -0.66430657E-02  0.10450994E-01 -0.73275291E+01
  0.47325856E-01 -0.66367895E-02  0.10450965E-01 -0.73206210E+01
  0.47889259E-01 -0.66265449E-02  0.10444149E-01 -0.73136511E+01
  0.48452662E-01 -0.66122446E-02  0.10430399E-01 -0.73066202E+01
  0.49016065E-01 -0.65938016E-02  0.10409570E-01 -0.72995286E+01
  0.49579468E-01 -0.65711288E-02  0.10381518E-01 -0.72923769E+01
  0.50142871E-01 -0.65441391E-02  0.10346098E-01 -0.72851657E+01
  0.50706274E-01 -0.65127460E-02  0.10303167E-01 -0.72778953E+01
  0.51269677E-01 -0.64768627E-02  0.10252580E-01 -0.72705664E+01
  0.51833080E-01 -0.64364030E-02  0.10194195E-01 -0.72631794E+01
  0.52396483E-01 -0.63912808E-02  0.10127868E-01 -0.72557348E+01
  0.52959886E-01 -0.63414102E-02  0.10053457E-01 -0.72482331E+01
  0.53523289E-01 -0.62867058E-02  0.99708204E-02 -0.72406747E+01
  0.54086692E-01 -0.62270824E-02  0.98798174E-02 -0.72330601E+01
  0.54650095E-01 -0.61624551E-02  0.97803073E-02 -0.72253898E+01
  0.55213498E-01 -0.60927396E-02  0.96721502E-02 -0.72176643E+01
  0.55776901E-01 -0.60178519E-02  0.95552072E-02 -0.72098838E+01
  0.56340304E-01 -0.59377084E-02  0.94293399E-02 -0.72020490E+01
  0.56903708E-01 -0.58522260E-02  0.92944108E-02 -0.71941602E+01
  0.57467111E-01 -0.57613221E-02  0.91502833E-02 -0.71862179E+01
  0.58030514E-01 -0.56649148E-02  0.89968216E-02 -0.71782223E+01
  0.58593917E-01 -0.55629226E-02  0.88338909E-02 -0.71701741E+01
  0.59157320E-01 -0.54552645E-02  0.86613575E-02 -0.71620734E+01
  0.59720723E-01 -0.53418603E-02  0.84790884E-02 -0.71539209E+01
  0.60284126E-01 -0.52226304E-02  0.82869520E-02 -0.71457167E+01
  0.60847529E-01 -0.50974959E-02  0.80848176E-02 -0.71374613E+01
  0.61410932E-01 -0.49663785E-02  0.78725557E-02 -0.71291551E+01
  0.61974335E-01 -0.48292007E-02  0.76500380E-02 -0.71207983E+01
  0.62537738E-01 -0.46858859E-02  0.74171375E-02 -0.71123914E+01
  0.63101141E-01 -0.45363580E-02  0.71737284E-02 -0.71039347E+01
  0.63664544E-01 -0.43805419E-02  0.69196861E-02 -0.70954285E+01
  0.64227947E-01 -0.42183634E-02  0.66548876E-02 -0.70868731E+01
  0.64791350E-01 -0.40497490E-02  0.63792112E-02 -0.70782689E+01
  0.65354753E-01 -0.38746263E-02  0.60925365E-02 -0.70696162E+01
  0.65918156E-01 -0.36929238E-02  0.57947448E-02 -0.70609152E+01
  0.66481559E-01 -0.35045707E-02  0.54857188E-02 -0.70521662E+01
  0.67044962E-01 -0.33094974E-02  0.51653428E-02 -0.70433695E+01
  0.67608365E-01 -0.31076354E-02  0.48335027E-02 -0.70345254E+01
  0.68171768E-01 -0.28989172E-02  0.44900859E-02 -0.70256342E+01
  0.68735171E-01 -0.26832761E-02  0.41349818E-02 -0.70166961E+01
  0.69298575E-01 -0.24606467E-02  0.37680811E-02 -0.70077113E+01
  0.69861978E-01 -0.22309649E-02  0.33892767E-02 -0.69986801E+01
  0.70425381E-01 -0.19941674E-02  0.29984631E-02 -0.69896028E+01
  0.70988784E-01 -0.17501923E-02  0.25955364E-02 -0.69804795E+01
  0.71552187E-01 -0.14989787E-02  0.21803950E-02 -0.69713104E+01
  0.72115590E-01 -0.12404672E-02  0.17529390E-02 -0.69620958E+01
  0.72678993E-01 -0.97459944E-03  0.13130703E-02 -0.69528359E+01
  0.73242396E-01 -0.70131832E-03  0.86069312E-03 -0.69435308E+01
  0.73805799E-01 -0.42056814E-03  0.39571343E-03 -0.69341807E+01
  0.74369202E-01 -0.13229445E-03 -0.81960626E-04 -0.69247859E+01
  0.74932605E-01  0.16355584E-03 -0.57241885E-03 -0.69153464E+01
  0.75496008E-01  0.46703444E-03 -0.10757489E-02 -0.69058625E+01
  0.76059411E-01  0.77819170E-03 -0.15920363E-02 -0.68963342E+01
  0.76622814E-01  0.10970766E-02 -0.21213643E-02 -0.68867618E+01
  0.77186217E-01  0.14237365E-02 -0.26638141E-02 -0.68771453E+01
  0.77749620E-01  0.17582176E-02 -0.32194644E-02 -0.68674849E+01
  0.78313023E-01  0.21005645E-02 -0.37883919E-02 -0.68577807E+01
  0.78876426E-01  0.24508201E-02 -0.43706707E-02 -0.68480329E+01
  0.79439829E-01  0.28090262E-02 -0.49663727E-02 -0.68382415E+01
  0.80003232E-01  0.31752228E-02 -0.55755674E-02 -0.68284066E+01
  0.80566635E-01  0.35494483E-02 -0.61983220E-02 -0.68185284E+01
  0.81130038E-01  0.39317397E-02 -0.68347010E-02 -0.68086069E+01
  0.81693441E-01  0.43221324E-02 -0.74847668E-02 -0.67986421E+01
  0.82256845E-01  0.47206601E-02 -0.81485789E-02 -0.67886343E+01
  0.82820248E-01  0.51273550E-02 -0.88261946E-02 -0.67785833E+01
  0.83383651E-01  0.55422475E-02 -0.95176686E-02 -0.67684894E+01
  0.83947054E-01  0.59653666E-02 -0.10223053E-01 -0.67583526E+01
  0.84510457E-01  0.63967394E-02 -0.10942397E-01 -0.67481728E+01
  0.85073860E-01  0.68363915E-02 -0.11675748E-01 -0.67379502E+01
  0.85637263E-01  0.72843466E-02 -0.12423150E-01 -0.67276847E+01
  0.86200666E-01  0.77406270E-02 -0.13184645E-01 -0.67173765E+01
  0.86764069E-01  0.82052531E-02 -0.13960271E-01 -0.67070255E+01
  0.87327472E-01  0.86782435E-02 -0.14750066E-01 -0.66966318E+01
  0.87890875E-01  0.91596152E-02 -0.15554062E-01 -0.66861953E+01
  0.88454278E-01  0.96493834E-02 -0.16372290E-01 -0.66757161E+01
  0.89017681E-01  0.10147562E-01 -0.17204779E-01 -0.66651943E+01
  0.89581084E-01  0.10654162E-01 -0.18051554E-01 -0.66546296E+01
  0.90144487E-01  0.11169193E-01 -0.18912637E-01 -0.66440223E+01
  0.90707890E-01  0.11692665E-01 -0.19788048E-01 -0.66333723E+01
  0.91271293E-01  0.12224582E-01 -0.20677805E-01 -0.66226795E+01
  0.91834696E-01  0.12764951E-01 -0.21581922E-01 -0.66119439E+01
  0.92398099E-01  0.13313773E-01 -0.22500410E-01 -0.66011656E+01
  0.92961502E-01  0.13871049E-01 -0.23433277E-01 -0.65903444E+01
  0.93524905E-01  0.14436780E-01 -0.24380530E-01 -0.65794804E+01
  0.94088308E-01  0.15010961E-01 -0.25342172E-01 -0.65685735E+01
  0.94651712E-01  0.15593589E-01 -0.26318202E-01 -0.65576237E+01
  0.95215115E-01  0.16184658E-01 -0.27308618E-01 -0.65466310E+01
  0.95778518E-01  0.16784159E-01 -0.28313414E-01 -0.65355952E+01
  0.96341921E-01  0.17392083E-01 -0.29332582E-01 -0.65245164E+01
  0.96905324E-01  0.18008419E-01 -0.30366112E-01 -0.65133945E+01
  0.97468727E-01  0.18633151E-01 -0.31413987E-01 -0.65022294E+01
  0.98032130E-01  0.19266266E-01 -0.32476193E-01 -0.64910211E+01
  0.98595533E-01  0.19907747E-01 -0.33552708E-01 -0.64797695E+01
  0.99158936E-01  0.20557574E-01 -0.34643511E-01 -0.64684745E+01
  0.99722339E-01  0.21215727E-01 -0.35748576E-01 -0.64571362E+01
  0.10028574E+00  0.21882184E-01 -0.36867875E-01 -0.64457544E+01
  0.10084915E+00  0.22556920E-01 -0.38001376E-01 -0.64343290E+01
  0.10141255E+00  0.23239910E-01 -0.39149047E-01 -0.64228600E+01
  0.10197595E+00  0.23931125E-01 -0.40310849E-01 -0.64113473E+01
  0.10253935E+00  0.24630537E-01 -0.41486744E-01 -0.63997909E+01
  0.10310276E+00  0.25338115E-01 -0.42676689E-01 -0.63881906E+01
  0.10366616E+00  0.26053824E-01 -0.43880639E-01 -0.63765464E+01
  0.10422956E+00  0.26777632E-01 -0.45098547E-01 -0.63648582E+01
  0.10479297E+00  0.27509501E-01 -0.46330363E-01 -0.63531259E+01
  0.10535637E+00  0.28249393E-01 -0.47576032E-01 -0.63413494E+01
  0.10591977E+00  0.28997269E-01 -0.48835499E-01 -0.63295287E+01
  0.10648318E+00  0.29753088E-01 -0.50108705E-01 -0.63176637E+01
  0.10704658E+00  0.30516806E-01 -0.51395589E-01 -0.63057543E+01
  0.10760998E+00  0.31288378E-01 -0.52696087E-01 -0.62938003E+01
  0.10817338E+00  0.32067760E-01 -0.54010133E-01 -0.62818018E+01
  0.10873679E+00  0.32854902E-01 -0.55337657E-01 -0.62697586E+01
  0.10930019E+00  0.33649756E-01 -0.56678588E-01 -0.62576707E+01
  0.10986359E+00  0.34452270E-01 -0.58032852E-01 -0.62455379E+01
  0.11042700E+00  0.35262391E-01 -0.59400370E-01 -0.62333603E+01
  0.11099040E+00  0.36080067E-01 -0.60781065E-01 -0.62211376E+01
  0.11155380E+00  0.36905241E-01 -0.62174855E-01 -0.62088698E+01
  0.11211721E+00  0.37737856E-01 -0.63581655E-01 -0.61965569E+01
  0.11268061E+00  0.38577854E-01 -0.65001378E-01 -0.61841987E+01
  0.11324401E+00  0.39425175E-01 -0.66433936E-01 -0.61717952E+01
  0.11380742E+00  0.40279757E-01 -0.67879237E-01 -0.61593462E+01
  0.11437082E+00  0.41141539E-01 -0.69337187E-01 -0.61468518E+01
  0.11493422E+00  0.42010455E-01 -0.70807692E-01 -0.61343119E+01
  0.11549762E+00  0.42886440E-01 -0.72290651E-01 -0.61217262E+01
  0.11606103E+00  0.43769428E-01 -0.73785965E-01 -0.61090949E+01
  0.11662443E+00  0.44659350E-01 -0.75293531E-01 -0.60964178E+01
  0.11718783E+00  0.45556138E-01 -0.76813245E-01 -0.60836948E+01
  0.11775124E+00  0.46459720E-01 -0.78345000E-01 -0.60709259E+01
  0.11831464E+00  0.47370026E-01 -0.79888686E-01 -0.60581110E+01
  0.11887804E+00  0.48286982E-01 -0.81444192E-01 -0.60452500E+01
  0.11944145E+00  0.49210513E-01 -0.83011407E-01 -0.60323429E+01
  0.12000485E+00  0.50140546E-01 -0.84590214E-01 -0.60193896E+01
  0.12056825E+00  0.51077003E-01 -0.86180497E-01 -0.60063900E+01
  0.12113165E+00  0.52019808E-01 -0.87782137E-01 -0.59933442E+01
  0.12169506E+00  0.52968881E-01 -0.89395015E-01 -0.59802520E+01
  0.12225846E+00  0.53924144E-01 -0.91019006E-01 -0.59671134E+01
  0.12282186E+00  0.54885516E-01 -0.92653989E-01 -0.59539283E+01
  0.12338527E+00  0.55852916E-01 -0.94299836E-01 -0.59406968E+01
  0.12394867E+00  0.56826262E-01 -0.95956420E-01 -0.59274187E+01
  0.12451207E+00  0.57805470E-01 -0.97623613E-01 -0.59140940E+01
  0.12507548E+00  0.58790458E-01 -0.99301284E-01 -0.59007227E+01
  0.12563888E+00  0.59781139E-01 -0.10098930E+00 -0.58873047E+01
  0.12620228E+00  0.60777428E-01 -0.10268753E+00 -0.58738401E+01
  0.12676569E+00  0.61779240E-01 -0.10439584E+00 -0.58603287E+01
  0.12732909E+00  0.62786488E-01 -0.10611409E+00 -0.58467707E+01
  0.12789249E+00  0.63799082E-01 -0.10784214E+00 -0.58331659E+01
  0.12845589E+00  0.64816937E-01 -0.10957986E+00 -0.58195143E+01
  0.12901930E+00  0.65839961E-01 -0.11132710E+00 -0.58058159E+01
  0.12958270E+00  0.66868066E-01 -0.11308373E+00 -0.57920708E+01
  0.13014610E+00  0.67901163E-01 -0.11484959E+00 -0.57782789E+01
  0.13070951E+00  0.68939159E-01 -0.11662456E+00 -0.57644402E+01
  0.13127291E+00  0.69981965E-01 -0.11840848E+00 -0.57505547E+01
  0.13183631E+00  0.71029488E-01 -0.12020121E+00 -0.57366224E+01
  0.13239972E+00  0.72081637E-01 -0.12200260E+00 -0.57226434E+01
  0.13296312E+00  0.73138320E-01 -0.12381250E+00 -0.57086177E+01
  0.13352652E+00  0.74199443E-01 -0.12563077E+00 -0.56945452E+01
  0.13408992E+00  0.75264914E-01 -0.12745726E+00 -0.56804260E+01
  0.13465333E+00  0.76334640E-01 -0.12929181E+00 -0.56662602E+01
  0.13521673E+00  0.77408526E-01 -0.13113428E+00 -0.56520478E+01
  0.13578013E+00  0.78486480E-01 -0.13298452E+00 -0.56377887E+01
  0.13634354E+00  0.79568408E-01 -0.13484238E+00 -0.56234831E+01
  0.13690694E+00  0.80654214E-01 -0.13670770E+00 -0.56091310E+01
  0.13747034E+00  0.81743806E-01 -0.13858032E+00 -0.55947325E+01
  0.13803375E+00  0.82837089E-01 -0.14046011E+00 -0.55802876E+01
  0.13859715E+00  0.83933969E-01 -0.14234690E+00 -0.55657964E+01
  0.13916055E+00  0.85034351E-01 -0.14424054E+00 -0.55512589E+01
  0.13972396E+00  0.86138140E-01 -0.14614088E+00 -0.55366753E+01
  0.14028736E+00  0.87245243E-01 -0.14804776E+00 -0.55220456E+01
  0.14085076E+00  0.88355566E-01 -0.14996103E+00 -0.55073698E+01
  0.14141416E+00  0.89469014E-01 -0.15188053E+00 -0.54926481E+01
  0.14197757E+00  0.90585493E-01 -0.15380611E+00 -0.54778806E+01
  0.14254097E+00  0.91704909E-01 -0.15573761E+00 -0.54630674E+01
  0.14310437E+00  0.92827170E-01 -0.15767488E+00 -0.54482086E+01
  0.14366778E+00  0.93952180E-01 -0.15961777E+00 -0.54333042E+01
  0.14423118E+00  0.95079848E-01 -0.16156611E+00 -0.54183544E+01
  0.14479458E+00  0.96210079E-01 -0.16351976E+00 -0.54033594E+01
  0.14535799E+00  0.97342783E-01 -0.16547856E+00 -0.53883192E+01
  0.14592139E+00  0.98477865E-01 -0.16744236E+00 -0.53732340E+01
  0.14648479E+00  0.99615235E-01 -0.16941100E+00 -0.53581039E+01
  0.14704819E+00  0.10075480E+00 -0.17138432E+00 -0.53429290E+01
  0.14761160E+00  0.10189647E+00 -0.17336219E+00 -0.53277096E+01
  0.14817500E+00  0.10304015E+00 -0.17534443E+00 -0.53124457E+01
  0.14873840E+00  0.10418576E+00 -0.17733090E+00 -0.52971376E+01
  0.14930181E+00  0.10533320E+00 -0.17932145E+00 -0.52817854E+01
  0.14986521E+00  0.10648239E+00 -0.18131592E+00 -0.52663892E+01
  0.15042861E+00  0.10763323E+00 -0.18331417E+00 -0.52509492E+01
  0.15099202E+00  0.10878564E+00 -0.18531603E+00 -0.52354657E+01
  0.15155542E+00  0.10993953E+00 -0.18732137E+00 -0.52199387E+01
  0.15211882E+00  0.11109481E+00 -0.18933004E+00 -0.52043686E+01
  0.15268223E+00  0.11225139E+00 -0.19134187E+00 -0.51887555E+01
  0.15324563E+00  0.11340920E+00 -0.19335674E+00 -0.51730996E+01
  0.15380903E+00  0.11456814E+00 -0.19537447E+00 -0.51574011E+01
  0.15437243E+00  0.11572814E+00 -0.19739494E+00 -0.51416602E+01
  0.15493584E+00  0.11688909E+00 -0.19941800E+00 -0.51258772E+01
  0.15549924E+00  0.11805094E+00 -0.20144349E+00 -0.51100523E+01
  0.15606264E+00  0.11921358E+00 -0.20347128E+00 -0.50941856E+01
  0.15662605E+00  0.12037694E+00 -0.20550121E+00 -0.50782776E+01
  0.15718945E+00  0.12154094E+00 -0.20753316E+00 -0.50623284E+01
  0.15775285E+00  0.12270550E+00 -0.20956697E+00 -0.50463382E+01
  0.15831626E+00  0.12387054E+00 -0.21160250E+00 -0.50303073E+01
  0.15887966E+00  0.12503597E+00 -0.21363962E+00 -0.50142360E+01
  0.15944306E+00  0.12620173E+00 -0.21567818E+00 -0.49981246E+01
  0.16000646E+00  0.12736773E+00 -0.21771805E+00 -0.49819733E+01
  0.16056987E+00  0.12853390E+00 -0.21975909E+00 -0.49657824E+01
  0.16113327E+00  0.12970016E+00 -0.22180116E+00 -0.49495522E+01
  0.16169667E+00  0.13086644E+00 -0.22384412E+00 -0.49332830E+01
  0.16226008E+00  0.13203266E+00 -0.22588785E+00 -0.49169750E+01
  0.16282348E+00  0.13319875E+00 -0.22793221E+00 -0.49006287E+01
  0.16338688E+00  0.13436464E+00 -0.22997706E+00 -0.48842442E+01
  0.16395029E+00  0.13553026E+00 -0.23202228E+00 -0.48678220E+01
  0.16451369E+00  0.13669553E+00 -0.23406774E+00 -0.48513623E+01
  0.16507709E+00  0.13786039E+00 -0.23611330E+00 -0.48348655E+01
  0.16564050E+00  0.13902477E+00 -0.23815884E+00 -0.48183319E+01
  0.16620390E+00  0.14018859E+00 -0.24020423E+00 -0.48017618E+01
  0.16676730E+00  0.14135180E+00 -0.24224934E+00 -0.47851556E+01
  0.16733070E+00  0.14251433E+00 -0.24429406E+00 -0.47685136E+01
  0.16789411E+00  0.14367610E+00 -0.24633825E+00 -0.47518362E+01
  0.16845751E+00  0.14483706E+00 -0.24838180E+00 -0.47351238E+01
  0.16902091E+00  0.14599714E+00 -0.25042457E+00 -0.47183767E+01
  0.16958432E+00  0.14715628E+00 -0.25246646E+00 -0.47015952E+01
  0.17014772E+00  0.14831442E+00 -0.25450734E+00 -0.46847799E+01
  0.17071112E+00  0.14947149E+00 -0.25654710E+00 -0.46679310E+01
  0.17127453E+00  0.15062744E+00 -0.25858561E+00 -0.46510489E+01
  0.17183793E+00  0.15178220E+00 -0.26062276E+00 -0.46341341E+01
