  0.00000000E+00  0.45017908E-02  0.76950505E-03 -0.76677056E+01
  0.56340304E-03  0.44934908E-02  0.85725928E-03 -0.76678822E+01
  0.11268061E-02  0.44837951E-02  0.94749516E-03 -0.76679505E+01
  0.16902091E-02  0.44726931E-02  0.10402193E-02 -0.76679103E+01
  0.22536122E-02  0.44601751E-02  0.11354366E-02 -0.76677617E+01
  0.28170152E-02  0.44462327E-02  0.12331499E-02 -0.76675044E+01
  0.33804183E-02  0.44308585E-02  0.13333602E-02 -0.76671385E+01
  0.39438213E-02  0.44140460E-02  0.14360666E-02 -0.76666639E+01
  0.45072244E-02  0.43957901E-02  0.15412662E-02 -0.76660805E+01
  0.50706274E-02  0.43760865E-02  0.16489543E-02 -0.76653884E+01
  0.56340304E-02  0.43549323E-02  0.17591240E-02 -0.76645876E+01
  0.61974335E-02  0.43323256E-02  0.18717664E-02 -0.76636781E+01
  0.67608365E-02  0.43082656E-02  0.19868708E-02 -0.76626598E+01
  0.73242396E-02  0.42827527E-02  0.21044242E-02 -0.76615330E+01
  0.78876426E-02  0.42557886E-02  0.22244116E-02 -0.76602976E+01
  0.84510457E-02  0.42273759E-02  0.23468160E-02 -0.76589538E+01
  0.90144487E-02  0.41975186E-02  0.24716184E-02 -0.76575016E+01
  0.95778518E-02  0.41662217E-02  0.25987974E-02 -0.76559412E+01
  0.10141255E-01  0.41334918E-02  0.27283298E-02 -0.76542727E+01
  0.10704658E-01  0.40993361E-02  0.28601901E-02 -0.76524962E+01
  0.11268061E-01  0.40637636E-02  0.29943508E-02 -0.76506120E+01
  0.11831464E-01  0.40267840E-02  0.31307821E-02 -0.76486201E+01
  0.12394867E-01  0.39884087E-02  0.32694522E-02 -0.76465209E+01
  0.12958270E-01  0.39486499E-02  0.34103271E-02 -0.76443145E+01
  0.13521673E-01  0.39075212E-02  0.35533707E-02 -0.76420012E+01
  0.14085076E-01  0.38650376E-02  0.36985446E-02 -0.76395811E+01
  0.14648479E-01  0.38212150E-02  0.38458084E-02 -0.76370547E+01
  0.15211882E-01  0.37760707E-02  0.39951196E-02 -0.76344221E+01
  0.15775285E-01  0.37296233E-02  0.41464333E-02 -0.76316836E+01
  0.16338688E-01  0.36818925E-02  0.42997026E-02 -0.76288396E+01
  0.16902091E-01  0.36328992E-02  0.44548786E-02 -0.76258904E+01
  0.17465494E-01  0.35826657E-02  0.46119100E-02 -0.76228363E+01
  0.18028897E-01  0.35312154E-02  0.47707434E-02 -0.76196776E+01
  0.18592300E-01  0.34785728E-02  0.49313236E-02 -0.76164149E+01
  0.19155704E-01  0.34247640E-02  0.50935928E-02 -0.76130483E+01
  0.19719107E-01  0.33698158E-02  0.52574914E-02 -0.76095784E+01
  0.20282510E-01  0.33137566E-02  0.54229576E-02 -0.76060056E+01
  0.20845913E-01  0.32566159E-02  0.55899276E-02 -0.76023302E+01
  0.21409316E-01  0.31984242E-02  0.57583353E-02 -0.75985527E+01
  0.21972719E-01  0.31392134E-02  0.59281129E-02 -0.75946736E+01
  0.22536122E-01  0.30790166E-02  0.60991902E-02 -0.75906934E+01
  0.23099525E-01  0.30178679E-02  0.62714953E-02 -0.75866124E+01
  0.23662928E-01  0.29558027E-02  0.64449539E-02 -0.75824313E+01
  0.24226331E-01  0.28928574E-02  0.66194900E-02 -0.75781506E+01
  0.24789734E-01  0.28290697E-02  0.67950255E-02 -0.75737707E+01
  0.25353137E-01  0.27644784E-02  0.69714805E-02 -0.75692922E+01
  0.25916540E-01  0.26991232E-02  0.71487730E-02 -0.75647156E+01
  0.26479943E-01  0.26330453E-02  0.73268192E-02 -0.75600415E+01
  0.27043346E-01  0.25662866E-02  0.75055333E-02 -0.75552705E+01
  0.27606749E-01  0.24988903E-02  0.76848277E-02 -0.75504031E+01
  0.28170152E-01  0.24309007E-02  0.78646130E-02 -0.75454400E+01
  0.28733555E-01  0.23623629E-02  0.80447979E-02 -0.75403818E+01
  0.29296958E-01  0.22933234E-02  0.82252895E-02 -0.75352290E+01
  0.29860361E-01  0.22238293E-02  0.84059930E-02 -0.75299823E+01
  0.30423764E-01  0.21539291E-02  0.85868119E-02 -0.75246423E+01
  0.30987167E-01  0.20836719E-02  0.87676479E-02 -0.75192097E+01
  0.31550571E-01  0.20131082E-02  0.89484013E-02 -0.75136852E+01
  0.32113974E-01  0.19422892E-02  0.91289705E-02 -0.75080694E+01
  0.32677377E-01  0.18712669E-02  0.93092525E-02 -0.75023630E+01
  0.33240780E-01  0.18000946E-02  0.94891426E-02 -0.74965666E+01
  0.33804183E-01  0.17288261E-02  0.96685348E-02 -0.74906811E+01
  0.34367586E-01  0.16575164E-02  0.98473212E-02 -0.74847070E+01
  0.34930989E-01  0.15862211E-02  0.10025393E-01 -0.74786450E+01
