  0.00000000E+00  0.53460913E+00  0.15875652E-17
  0.10000000E-01  0.53458169E+00  0.35776212E-01
  0.20000000E-01  0.53449933E+00  0.71572996E-01
  0.30000000E-01  0.53436194E+00  0.10741098E+00
  0.40000000E-01  0.53416928E+00  0.14331089E+00
  0.50000000E-01  0.53392107E+00  0.17929362E+00
  0.60000000E-01  0.53361693E+00  0.21538028E+00
  0.70000000E-01  0.53325638E+00  0.25159222E+00
  0.80000000E-01  0.53283886E+00  0.28795113E+00
  0.90000000E-01  0.53236374E+00  0.32447904E+00
  0.10000000E+00  0.53183028E+00  0.36119841E+00
  0.11000000E+00  0.53123766E+00  0.39813213E+00
  0.12000000E+00  0.53058496E+00  0.43530360E+00
  0.13000000E+00  0.52987118E+00  0.47273676E+00
  0.14000000E+00  0.52909521E+00  0.51045614E+00
  0.15000000E+00  0.52825586E+00  0.54848687E+00
  0.16000000E+00  0.52735182E+00  0.58685474E+00
  0.17000000E+00  0.52638171E+00  0.62558621E+00
  0.18000000E+00  0.52534403E+00  0.66470847E+00
  0.19000000E+00  0.52423716E+00  0.70424943E+00
  0.20000000E+00  0.52305939E+00  0.74423776E+00
  0.21000000E+00  0.52180891E+00  0.78470293E+00
  0.22000000E+00  0.52048376E+00  0.82567517E+00
  0.23000000E+00  0.51908190E+00  0.86718554E+00
  0.24000000E+00  0.51760114E+00  0.90926589E+00
  0.25000000E+00  0.51603918E+00  0.95194890E+00
  0.26000000E+00  0.51439358E+00  0.99526807E+00
  0.27000000E+00  0.51266177E+00  0.10392577E+01
  0.28000000E+00  0.51084103E+00  0.10839529E+01
  0.29000000E+00  0.50892851E+00  0.11293895E+01
  0.30000000E+00  0.50692119E+00  0.11756043E+01
  0.31000000E+00  0.50481590E+00  0.12226346E+01
  0.32000000E+00  0.50260930E+00  0.12705186E+01
  0.33000000E+00  0.50029788E+00  0.13192952E+01
  0.34000000E+00  0.49787795E+00  0.13690037E+01
  0.35000000E+00  0.49534562E+00  0.14196844E+01
  0.36000000E+00  0.49269681E+00  0.14713780E+01
  0.37000000E+00  0.48992724E+00  0.15241256E+01
  0.38000000E+00  0.48703238E+00  0.15779690E+01
  0.39000000E+00  0.48400751E+00  0.16329503E+01
  0.40000000E+00  0.48084762E+00  0.16891120E+01
  0.41000000E+00  0.47754750E+00  0.17464968E+01
  0.42000000E+00  0.47410162E+00  0.18051478E+01
  0.43000000E+00  0.47050421E+00  0.18651081E+01
  0.44000000E+00  0.46674917E+00  0.19264211E+01
  0.45000000E+00  0.46283010E+00  0.19891299E+01
  0.46000000E+00  0.45874029E+00  0.20532777E+01
  0.47000000E+00  0.45447266E+00  0.21189077E+01
  0.48000000E+00  0.45001977E+00  0.21860628E+01
  0.49000000E+00  0.44537381E+00  0.22547855E+01
  0.50000000E+00  0.44052657E+00  0.23251181E+01
  0.51000000E+00  0.43546942E+00  0.23971026E+01
  0.52000000E+00  0.43019330E+00  0.24707805E+01
  0.53000000E+00  0.42468870E+00  0.25461928E+01
  0.54000000E+00  0.41894564E+00  0.26233803E+01
  0.55000000E+00  0.41295366E+00  0.27023831E+01
  0.56000000E+00  0.40670181E+00  0.27832413E+01
  0.57000000E+00  0.40017865E+00  0.28659944E+01
  0.58000000E+00  0.39337224E+00  0.29506820E+01
  0.59000000E+00  0.38627014E+00  0.30373439E+01
  0.60000000E+00  0.37885943E+00  0.31260202E+01
  0.61000000E+00  0.37112675E+00  0.32167517E+01
  0.62000000E+00  0.36305832E+00  0.33095805E+01
  0.63000000E+00  0.35464004E+00  0.34045505E+01
  0.64000000E+00  0.34585756E+00  0.35017083E+01
  0.65000000E+00  0.33669639E+00  0.36011040E+01
  0.66000000E+00  0.32714214E+00  0.37027922E+01
  0.67000000E+00  0.31718069E+00  0.38068338E+01
  0.68000000E+00  0.30679858E+00  0.39132972E+01
  0.69000000E+00  0.29598341E+00  0.40222606E+01
  0.70000000E+00  0.28472442E+00  0.41338136E+01
  0.71000000E+00  0.27301330E+00  0.42480605E+01
  0.72000000E+00  0.26084521E+00  0.43651234E+01
  0.73000000E+00  0.24822025E+00  0.44851463E+01
  0.74000000E+00  0.23514539E+00  0.46083018E+01
  0.75000000E+00  0.22163715E+00  0.47347983E+01
  0.76000000E+00  0.20772542E+00  0.48648895E+01
  0.77000000E+00  0.19345883E+00  0.49988790E+01
  0.78000000E+00  0.17891248E+00  0.51371181E+01
  0.79000000E+00  0.16419959E+00  0.52799935E+01
  0.80000000E+00  0.14948911E+00  0.54279283E+01
  0.81000000E+00  0.13503373E+00  0.55814521E+01
  0.82000000E+00  0.12121628E+00  0.57414107E+01
  0.83000000E+00  0.10863233E+00  0.59093244E+01
  0.84000000E+00  0.98257928E-01  0.60873701E+01
  0.85000000E+00  0.91894028E-01  0.62750518E+01
  0.86000000E+00  0.93820496E-01  0.64642885E+01
  0.87000000E+00  0.11649259E+00  0.66701046E+01
  0.88000000E+00  0.17143809E+00  0.69768246E+01
  0.89000000E+00  0.20485368E+00  0.74323427E+01
  0.90000000E+00  0.18663891E+00  0.79648015E+01
  0.91000000E+00  0.13271183E+00  0.85201331E+01
  0.92000000E+00  0.49804958E-01  0.91072070E+01
  0.93000000E+00 -0.61806599E-01  0.97415522E+01
  0.94000000E+00 -0.20475743E+00  0.10435335E+02
  0.95000000E+00 -0.38446349E+00  0.11211971E+02
  0.96000000E+00 -0.61057083E+00  0.12122145E+02
  0.97000000E+00 -0.90237869E+00  0.13246900E+02
  0.98000000E+00 -0.13004913E+01  0.14678635E+02
  0.99000000E+00 -0.19252902E+01  0.16821030E+02
  0.10000000E+01 -0.49461395E+01  0.21384912E+02
  0.10100000E+01 -0.71988050E+01  0.15916616E+02
  0.10200000E+01 -0.77408187E+01  0.13258614E+02
  0.10300000E+01 -0.80116390E+01  0.11423808E+02
  0.10400000E+01 -0.82608465E+01  0.10004942E+02
  0.10500000E+01 -0.84689922E+01  0.87496803E+01
  0.10600000E+01 -0.86368592E+01  0.76537661E+01
  0.10700000E+01 -0.87751663E+01  0.67168865E+01
