  0.00000000E+00  0.15847676E+02 -0.15036056E-14
  0.10000000E-01  0.15860743E+02 -0.20627376E+01
  0.20000000E-01  0.15899964E+02 -0.41256682E+01
  0.30000000E-01  0.15965396E+02 -0.61889845E+01
  0.40000000E-01  0.16057135E+02 -0.82528791E+01
  0.50000000E-01  0.16175317E+02 -0.10317544E+02
  0.60000000E-01  0.16320114E+02 -0.12383171E+02
  0.70000000E-01  0.16491740E+02 -0.14449950E+02
  0.80000000E-01  0.16690445E+02 -0.16518071E+02
  0.90000000E-01  0.16916521E+02 -0.18587724E+02
  0.10000000E+00  0.17170300E+02 -0.20659096E+02
  0.11000000E+00  0.17452154E+02 -0.22732372E+02
  0.12000000E+00  0.17762494E+02 -0.24807738E+02
  0.13000000E+00  0.18101775E+02 -0.26885376E+02
  0.14000000E+00  0.18470492E+02 -0.28965467E+02
  0.15000000E+00  0.18869183E+02 -0.31048189E+02
  0.16000000E+00  0.19298431E+02 -0.33133720E+02
  0.17000000E+00  0.19758859E+02 -0.35222232E+02
  0.18000000E+00  0.20251138E+02 -0.37313895E+02
  0.19000000E+00  0.20775984E+02 -0.39408879E+02
  0.20000000E+00  0.21334156E+02 -0.41507345E+02
  0.21000000E+00  0.21926465E+02 -0.43609456E+02
  0.22000000E+00  0.22553766E+02 -0.45715365E+02
  0.23000000E+00  0.23216966E+02 -0.47825227E+02
  0.24000000E+00  0.23917020E+02 -0.49939186E+02
  0.25000000E+00  0.24654935E+02 -0.52057385E+02
  0.26000000E+00  0.25431771E+02 -0.54179960E+02
  0.27000000E+00  0.26248639E+02 -0.56307040E+02
  0.28000000E+00  0.27106707E+02 -0.58438749E+02
  0.29000000E+00  0.28007199E+02 -0.60575202E+02
  0.30000000E+00  0.28951393E+02 -0.62716509E+02
  0.31000000E+00  0.29940627E+02 -0.64862770E+02
  0.32000000E+00  0.30976300E+02 -0.67014075E+02
  0.33000000E+00  0.32059870E+02 -0.69170506E+02
  0.34000000E+00  0.33192856E+02 -0.71332135E+02
  0.35000000E+00  0.34376843E+02 -0.73499021E+02
  0.36000000E+00  0.35613478E+02 -0.75671213E+02
  0.37000000E+00  0.36904476E+02 -0.77848745E+02
  0.38000000E+00  0.38251617E+02 -0.80031640E+02
  0.39000000E+00  0.39656752E+02 -0.82219903E+02
  0.40000000E+00  0.41121798E+02 -0.84413525E+02
  0.41000000E+00  0.42648746E+02 -0.86612478E+02
  0.42000000E+00  0.44239655E+02 -0.88816717E+02
  0.43000000E+00  0.45896661E+02 -0.91026176E+02
  0.44000000E+00  0.47621969E+02 -0.93240768E+02
  0.45000000E+00  0.49417861E+02 -0.95460382E+02
  0.46000000E+00  0.51286694E+02 -0.97684884E+02
  0.47000000E+00  0.53230900E+02 -0.99914111E+02
  0.48000000E+00  0.55252988E+02 -0.10214787E+03
  0.49000000E+00  0.57355541E+02 -0.10438595E+03
  0.50000000E+00  0.59541223E+02 -0.10662808E+03
  0.51000000E+00  0.61812772E+02 -0.10887398E+03
  0.52000000E+00  0.64173002E+02 -0.11112331E+03
  0.53000000E+00  0.66624807E+02 -0.11337571E+03
  0.54000000E+00  0.69171153E+02 -0.11563076E+03
  0.55000000E+00  0.71815086E+02 -0.11788799E+03
  0.56000000E+00  0.74559723E+02 -0.12014689E+03
  0.57000000E+00  0.77408259E+02 -0.12240688E+03
  0.58000000E+00  0.80363958E+02 -0.12466732E+03
  0.59000000E+00  0.83430159E+02 -0.12692751E+03
  0.60000000E+00  0.86610271E+02 -0.12918668E+03
  0.61000000E+00  0.89907772E+02 -0.13144396E+03
  0.62000000E+00  0.93326207E+02 -0.13369840E+03
  0.63000000E+00  0.96869186E+02 -0.13594897E+03
  0.64000000E+00  0.10054038E+03 -0.13819451E+03
  0.65000000E+00  0.10434354E+03 -0.14043374E+03
  0.66000000E+00  0.10828246E+03 -0.14266524E+03
  0.67000000E+00  0.11236102E+03 -0.14488745E+03
  0.68000000E+00  0.11658313E+03 -0.14709860E+03
  0.69000000E+00  0.12095273E+03 -0.14929671E+03
  0.70000000E+00  0.12547372E+03 -0.15147953E+03
  0.71000000E+00  0.13015024E+03 -0.15364444E+03
  0.72000000E+00  0.13498708E+03 -0.15578838E+03
  0.73000000E+00  0.13998967E+03 -0.15790763E+03
  0.74000000E+00  0.14516088E+03 -0.15999755E+03
  0.75000000E+00  0.15049434E+03 -0.16205243E+03
  0.76000000E+00  0.15599454E+03 -0.16406557E+03
  0.77000000E+00  0.16174895E+03 -0.16597236E+03
