  0.96000000E+00  0.24311744E+03 -0.17757398E+03
  0.97000000E+00  0.25075512E+03 -0.17823476E+03
  0.98000000E+00  0.25939328E+03 -0.17858112E+03
  0.99000000E+00  0.26931480E+03 -0.17817693E+03
  0.10000000E+01  0.27829993E+03 -0.17595196E+03
  0.10100000E+01  0.28203764E+03 -0.17328400E+03
  0.10200000E+01  0.28388376E+03 -0.17226608E+03
  0.10300000E+01  0.28635522E+03 -0.17195489E+03
  0.10400000E+01  0.28959584E+03 -0.17208007E+03
  0.10500000E+01  0.29348525E+03 -0.17242883E+03
  0.10600000E+01  0.29781488E+03 -0.17288249E+03
  0.10700000E+01  0.30251526E+03 -0.17339560E+03
  0.10800000E+01  0.30765149E+03 -0.17393685E+03
  0.10900000E+01  0.31337242E+03 -0.17446042E+03
  0.11000000E+01  0.31999394E+03 -0.17482884E+03
  0.11100000E+01  0.32655980E+03 -0.17362360E+03
  0.11200000E+01  0.33113334E+03 -0.17338077E+03
  0.11300000E+01  0.33605455E+03 -0.17334049E+03
  0.11400000E+01  0.34101718E+03 -0.17350512E+03
  0.11500000E+01  0.34701568E+03 -0.17309850E+03
  0.11600000E+01  0.35126095E+03 -0.17335253E+03
  0.11700000E+01  0.35658953E+03 -0.17388526E+03
  0.11800000E+01  0.36252596E+03 -0.17447876E+03
  0.11900000E+01  0.36899372E+03 -0.17508036E+03
  0.12000000E+01  0.37598793E+03 -0.17570306E+03
  0.12100000E+01  0.38355205E+03 -0.17632363E+03
  0.12200000E+01  0.39346142E+03 -0.17675048E+03
  0.12300000E+01  0.40132774E+03 -0.17683612E+03
  0.12400000E+01  0.41242569E+03 -0.17705250E+03
  0.12500000E+01  0.42580020E+03 -0.17619303E+03
  0.12600000E+01  0.43688687E+03 -0.17130582E+03
  0.12700000E+01  0.44121771E+03 -0.16937127E+03
  0.12800000E+01  0.44776139E+03 -0.16846808E+03
  0.12900000E+01  0.45847450E+03 -0.16806829E+03
  0.13000000E+01  0.47424249E+03 -0.16006624E+03
  0.13100000E+01  0.47187634E+03 -0.15828933E+03
  0.13200000E+01  0.47777757E+03 -0.15773547E+03
  0.13300000E+01  0.48578714E+03 -0.15672742E+03
  0.13400000E+01  0.49433097E+03 -0.15528858E+03
  0.13500000E+01  0.50219332E+03 -0.15166148E+03
  0.13600000E+01  0.50836419E+03 -0.15031176E+03
  0.13700000E+01  0.51570807E+03 -0.14940589E+03
  0.13800000E+01  0.52556149E+03 -0.14892807E+03
  0.13900000E+01  0.53986457E+03 -0.14783448E+03
  0.14000000E+01  0.56078677E+03 -0.14755780E+03
  0.14100000E+01  0.59965161E+03 -0.14549801E+03
