  0.00000000E+00 -0.93539696E+00
  0.54998869E-03 -0.93353724E+00
  0.10999774E-02 -0.93198309E+00
  0.16499661E-02 -0.93072266E+00
  0.21999547E-02 -0.92974141E+00
  0.27499434E-02 -0.92902775E+00
  0.32999321E-02 -0.92857519E+00
  0.38499208E-02 -0.92838201E+00
  0.43999095E-02 -0.92845001E+00
  0.49498982E-02 -0.92878345E+00
  0.54998869E-02 -0.92938826E+00
  0.60498756E-02 -0.93027168E+00
  0.65998642E-02 -0.93144198E+00
  0.71498529E-02 -0.93290838E+00
  0.76998416E-02 -0.93468093E+00
  0.82498303E-02 -0.93677045E+00
  0.87998190E-02 -0.93918844E+00
  0.93498077E-02 -0.94194702E+00
  0.98997964E-02 -0.94505877E+00
  0.10449785E-01 -0.94853663E+00
  0.10999774E-01 -0.95239368E+00
  0.11549762E-01 -0.95664301E+00
  0.12099751E-01 -0.96129743E+00
  0.12649740E-01 -0.96636920E+00
  0.13199728E-01 -0.97186976E+00
  0.13749717E-01 -0.97780932E+00
  0.14299706E-01 -0.98419647E+00
  0.14849695E-01 -0.99103767E+00
  0.15399683E-01 -0.99833664E+00
  0.15949672E-01 -0.10060936E+01
  0.16499661E-01 -0.10143042E+01
  0.17049649E-01 -0.10229584E+01
  0.17599638E-01 -0.10320384E+01
  0.18149627E-01 -0.45956252E+00
  0.18699615E-01 -0.45673262E+00
  0.19249604E-01 -0.45381010E+00
  0.19799593E-01 -0.45077618E+00
  0.20349581E-01 -0.44761337E+00
  0.20899570E-01 -0.44431080E+00
  0.21449559E-01 -0.44086761E+00
  0.21999547E-01 -0.43729231E+00
  0.22549536E-01 -0.43359897E+00
  0.23099525E-01 -0.42980259E+00
  0.23649514E-01 -0.42591599E+00
  0.24199502E-01 -0.42194846E+00
  0.24749491E-01 -0.41790591E+00
  0.25299480E-01 -0.41379154E+00
  0.25849468E-01 -0.40960669E+00
  0.26399457E-01 -0.40535153E+00
  0.26949446E-01 -0.40102555E+00
  0.27499434E-01 -0.39662790E+00
  0.28049423E-01 -0.39215756E+00
  0.28599412E-01 -0.38761351E+00
